Model,Attack_Type,Param,Accuracy
Standard,Clean,-,99.0
Standard,Fixed-Saliency,k=3,86.82
Standard,Fixed-Saliency,k=5,80.99
Standard,Fixed-Saliency,k=7,75.92
Standard,Fixed-Saliency,k=9,71.19
Standard,Fixed-Saliency,k=12,65.01
Standard,Fixed-Saliency,k=15,59.78
Standard,Fixed-Saliency,r=1,71.19
Standard,Fixed-Saliency,r=2,61.74
Standard,Fixed-Saliency,r=3,54.25
Standard,Adaptive-Saliency,"N=3,R=3",49.45
Standard,Adaptive-Saliency,"N=5,R=3",34.33
Standard,Adaptive-Saliency,"N=7,R=3",25.09
Standard,Adaptive-Saliency,"N=10,R=3",15.95
Standard,Adaptive-Saliency,"N=5,R=2",49.15
Standard,Adaptive-Saliency,"N=5,R=3",34.33
Standard,Adaptive-Saliency,"N=5,R=4",23.91
PGD-AT,Clean,-,99.3
PGD-AT,Fixed-Saliency,k=3,87.99
PGD-AT,Fixed-Saliency,k=5,81.39
PGD-AT,Fixed-Saliency,k=7,75.78
PGD-AT,Fixed-Saliency,k=9,70.11
PGD-AT,Fixed-Saliency,k=12,61.76
PGD-AT,Fixed-Saliency,k=15,54.23
PGD-AT,Fixed-Saliency,r=1,70.11
PGD-AT,Fixed-Saliency,r=2,59.72
PGD-AT,Fixed-Saliency,r=3,50.91
PGD-AT,Adaptive-Saliency,"N=3,R=3",46.63
PGD-AT,Adaptive-Saliency,"N=5,R=3",30.12
PGD-AT,Adaptive-Saliency,"N=7,R=3",19.95
PGD-AT,Adaptive-Saliency,"N=10,R=3",11.63
PGD-AT,Adaptive-Saliency,"N=5,R=2",44.08
PGD-AT,Adaptive-Saliency,"N=5,R=3",30.12
PGD-AT,Adaptive-Saliency,"N=5,R=4",20.3
FGSM-AT,Clean,-,99.2
FGSM-AT,Fixed-Saliency,k=3,91.11
FGSM-AT,Fixed-Saliency,k=5,84.99
FGSM-AT,Fixed-Saliency,k=7,79.19
FGSM-AT,Fixed-Saliency,k=9,73.73
FGSM-AT,Fixed-Saliency,k=12,66.45
FGSM-AT,Fixed-Saliency,k=15,60.41
FGSM-AT,Fixed-Saliency,r=1,73.73
FGSM-AT,Fixed-Saliency,r=2,60.51
FGSM-AT,Fixed-Saliency,r=3,51.13
FGSM-AT,Adaptive-Saliency,"N=3,R=3",50.76
FGSM-AT,Adaptive-Saliency,"N=5,R=3",33.9
FGSM-AT,Adaptive-Saliency,"N=7,R=3",23.78
FGSM-AT,Adaptive-Saliency,"N=10,R=3",14.71
FGSM-AT,Adaptive-Saliency,"N=5,R=2",49.95
FGSM-AT,Adaptive-Saliency,"N=5,R=3",33.9
FGSM-AT,Adaptive-Saliency,"N=5,R=4",23.35
Occlusion-AT,Clean,-,95.75
Occlusion-AT,Fixed-Saliency,k=3,95.11
Occlusion-AT,Fixed-Saliency,k=5,94.69
Occlusion-AT,Fixed-Saliency,k=7,94.22
Occlusion-AT,Fixed-Saliency,k=9,93.78
Occlusion-AT,Fixed-Saliency,k=12,93.26
Occlusion-AT,Fixed-Saliency,k=15,92.6
Occlusion-AT,Fixed-Saliency,r=1,93.78
Occlusion-AT,Fixed-Saliency,r=2,89.78
Occlusion-AT,Fixed-Saliency,r=3,90.41
Occlusion-AT,Adaptive-Saliency,"N=3,R=3",82.98
Occlusion-AT,Adaptive-Saliency,"N=5,R=3",78.91
Occlusion-AT,Adaptive-Saliency,"N=7,R=3",75.27
Occlusion-AT,Adaptive-Saliency,"N=10,R=3",70.86
Occlusion-AT,Adaptive-Saliency,"N=5,R=2",87.09
Occlusion-AT,Adaptive-Saliency,"N=5,R=3",78.91
Occlusion-AT,Adaptive-Saliency,"N=5,R=4",70.13
Adaptive-Occlusion-AT,Clean,-,98.48
Adaptive-Occlusion-AT,Fixed-Saliency,k=3,98.36
Adaptive-Occlusion-AT,Fixed-Saliency,k=5,98.32
Adaptive-Occlusion-AT,Fixed-Saliency,k=7,98.22
Adaptive-Occlusion-AT,Fixed-Saliency,k=9,98.14
Adaptive-Occlusion-AT,Fixed-Saliency,k=12,98.0
Adaptive-Occlusion-AT,Fixed-Saliency,k=15,97.86
Adaptive-Occlusion-AT,Fixed-Saliency,r=1,98.14
Adaptive-Occlusion-AT,Fixed-Saliency,r=2,97.37
Adaptive-Occlusion-AT,Fixed-Saliency,r=3,95.88
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=3,R=3",94.67
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=5,R=3",92.02
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=7,R=3",88.87
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=10,R=3",83.93
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=5,R=2",95.84
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=5,R=3",92.02
Adaptive-Occlusion-AT,Adaptive-Saliency,"N=5,R=4",84.27
Adaptive-Saliency-AT(N5R1),Clean,-,98.91
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k=3,98.71
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k=5,98.41
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k=7,98.35
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k=9,97.95
