Model,Attack_Type,N,R,Accuracy
Standard,Adaptive-Saliency,3,3,49.45
Standard,Adaptive-Saliency,5,3,34.33
Standard,Adaptive-Saliency,7,3,25.09
Standard,Adaptive-Saliency,10,3,15.95
Adaptive-Saliency-AT,Adaptive-Saliency,3,3,95.97
Adaptive-Saliency-AT,Adaptive-Saliency,5,3,94.3
Adaptive-Saliency-AT,Adaptive-Saliency,7,3,92.44
Adaptive-Saliency-AT,Adaptive-Saliency,10,3,88.74
Mix-AT,Adaptive-Saliency,3,3,88.65
Mix-AT,Adaptive-Saliency,5,3,80.65
Mix-AT,Adaptive-Saliency,7,3,70.64
Mix-AT,Adaptive-Saliency,10,3,54.7
