Model,Attack_Type,N,R,Accuracy
Standard,Adaptive-Saliency,5,3,34.33
Standard,Adaptive-Saliency,10,3,15.95
PGD-AT,Adaptive-Saliency,5,3,30.12
PGD-AT,Adaptive-Saliency,10,3,11.63
FGSM-AT,Adaptive-Saliency,5,3,33.9
FGSM-AT,Adaptive-Saliency,10,3,14.71
Occlusion-AT,Adaptive-Saliency,5,3,78.91
Occlusion-AT,Adaptive-Saliency,10,3,70.86
Mix-AT(Occlusion+PGD),Adaptive-Saliency,5,3,67.86
Mix-AT(Occlusion+PGD),Adaptive-Saliency,10,3,38.82
Adaptive-Saliency-AT,Adaptive-Saliency,5,3,72.59
Adaptive-Saliency-AT,Adaptive-Saliency,10,3,46.49
"Adaptive-Saliency-AT(N=5,R=3)",Adaptive-Saliency,5,3,94.3
"Adaptive-Saliency-AT(N=5,R=3)",Adaptive-Saliency,10,3,88.74
Adaptive-Occlusion-AT,Adaptive-Saliency,5,3,92.02
Adaptive-Occlusion-AT,Adaptive-Saliency,10,3,83.93
Mix-AT,Adaptive-Saliency,5,3,80.65
Mix-AT,Adaptive-Saliency,10,3,54.7
Adaptive-Mix-AT,Adaptive-Saliency,5,3,76.06
Adaptive-Mix-AT,Adaptive-Saliency,10,3,50.66
