Model,Attack_Type,k,kernel_size,Accuracy
Standard,Fixed-Saliency,3,3,86.82
Standard,Fixed-Saliency,5,3,80.99
Standard,Fixed-Saliency,7,3,75.92
Standard,Fixed-Saliency,9,3,71.19
Standard,Fixed-Saliency,12,3,65.01
Standard,Fixed-Saliency,15,3,59.78
Adaptive-Saliency-AT,Fixed-Saliency,3,3,98.62
Adaptive-Saliency-AT,Fixed-Saliency,5,3,98.61
Adaptive-Saliency-AT,Fixed-Saliency,7,3,98.49
Adaptive-Saliency-AT,Fixed-Saliency,9,3,98.43
Adaptive-Saliency-AT,Fixed-Saliency,12,3,98.31
Adaptive-Saliency-AT,Fixed-Saliency,15,3,98.2
Mix-AT,Fixed-Saliency,3,3,97.79
Mix-AT,Fixed-Saliency,5,3,96.97
Mix-AT,Fixed-Saliency,7,3,96.34
Mix-AT,Fixed-Saliency,9,3,95.48
Mix-AT,Fixed-Saliency,12,3,94.24
Mix-AT,Fixed-Saliency,15,3,92.56
