Model,Attack,Params,Accuracy
Standard,Clean,-,99.0
Standard,Fixed,"k=3,ks=3,c=0.0",86.82
Standard,Fixed,"k=5,ks=3,c=0.0",81.02
Standard,Fixed,"k=9,ks=3,c=0.0",71.18
Standard,Fixed,"k=15,ks=3,c=0.0",59.74
Standard,Adaptive,"N=3,R=3,c=0.0",49.39
Standard,Adaptive,"N=5,R=3,c=0.0",34.35
Standard,Adaptive,"N=7,R=3,c=0.0",25.08
Standard,Adaptive,"N=10,R=3,c=0.0",15.94
PGD-AT,Clean,-,99.3
PGD-AT,Fixed,"k=3,ks=3,c=0.0",88.03
PGD-AT,Fixed,"k=5,ks=3,c=0.0",81.4
PGD-AT,Fixed,"k=9,ks=3,c=0.0",70.09
PGD-AT,Fixed,"k=15,ks=3,c=0.0",54.22
PGD-AT,Adaptive,"N=3,R=3,c=0.0",46.64
PGD-AT,Adaptive,"N=5,R=3,c=0.0",30.16
PGD-AT,Adaptive,"N=7,R=3,c=0.0",19.96
PGD-AT,Adaptive,"N=10,R=3,c=0.0",11.62
Occlusion-AT(Fixed),Clean,-,95.75
Occlusion-AT(Fixed),Fixed,"k=3,ks=3,c=0.0",95.11
Occlusion-AT(Fixed),Fixed,"k=5,ks=3,c=0.0",94.7
Occlusion-AT(Fixed),Fixed,"k=9,ks=3,c=0.0",93.78
Occlusion-AT(Fixed),Fixed,"k=15,ks=3,c=0.0",92.58
Occlusion-AT(Fixed),Adaptive,"N=3,R=3,c=0.0",82.99
Occlusion-AT(Fixed),Adaptive,"N=5,R=3,c=0.0",78.93
Occlusion-AT(Fixed),Adaptive,"N=7,R=3,c=0.0",75.24
Occlusion-AT(Fixed),Adaptive,"N=10,R=3,c=0.0",70.81
Mix-AT(Adaptive),Clean,-,98.9
Mix-AT(Adaptive),Fixed,"k=3,ks=3,c=0.0",97.32
Mix-AT(Adaptive),Fixed,"k=5,ks=3,c=0.0",96.16
Mix-AT(Adaptive),Fixed,"k=9,ks=3,c=0.0",94.03
Mix-AT(Adaptive),Fixed,"k=15,ks=3,c=0.0",91.22
Mix-AT(Adaptive),Adaptive,"N=3,R=3,c=0.0",86.1
Mix-AT(Adaptive),Adaptive,"N=5,R=3,c=0.0",76.07
Mix-AT(Adaptive),Adaptive,"N=7,R=3,c=0.0",65.19
Mix-AT(Adaptive),Adaptive,"N=10,R=3,c=0.0",50.59
