Model,Attack_Type,Parameter,N,R,Accuracy
Standard,Adaptive-Saliency,N,3,3,49.45
Standard,Adaptive-Saliency,N,5,3,34.33
Standard,Adaptive-Saliency,N,7,3,25.09
Standard,Adaptive-Saliency,N,10,3,15.95
PGD-AT,Adaptive-Saliency,N,3,3,46.63
PGD-AT,Adaptive-Saliency,N,5,3,30.12
PGD-AT,Adaptive-Saliency,N,7,3,19.95
PGD-AT,Adaptive-Saliency,N,10,3,11.63
FGSM-AT,Adaptive-Saliency,N,3,3,50.76
FGSM-AT,Adaptive-Saliency,N,5,3,33.9
FGSM-AT,Adaptive-Saliency,N,7,3,23.78
FGSM-AT,Adaptive-Saliency,N,10,3,14.71
Occlusion-AT,Adaptive-Saliency,N,3,3,82.98
Occlusion-AT,Adaptive-Saliency,N,5,3,78.91
Occlusion-AT,Adaptive-Saliency,N,7,3,75.27
Occlusion-AT,Adaptive-Saliency,N,10,3,70.86
Adaptive-Occlusion-AT,Adaptive-Saliency,N,3,3,94.67
Adaptive-Occlusion-AT,Adaptive-Saliency,N,5,3,92.02
Adaptive-Occlusion-AT,Adaptive-Saliency,N,7,3,88.87
Adaptive-Occlusion-AT,Adaptive-Saliency,N,10,3,83.93
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,N,3,3,85.22
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,N,5,3,72.59
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,N,7,3,61.29
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,N,10,3,46.49
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,N,3,3,95.97
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,N,5,3,94.3
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,N,7,3,92.44
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,N,10,3,88.74
Adaptive-Mixed-AT,Adaptive-Saliency,N,3,3,86.13
Adaptive-Mixed-AT,Adaptive-Saliency,N,5,3,76.06
Adaptive-Mixed-AT,Adaptive-Saliency,N,7,3,65.19
Adaptive-Mixed-AT,Adaptive-Saliency,N,10,3,50.66
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,N,3,3,82.85
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,N,5,3,67.86
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,N,7,3,54.5
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,N,10,3,38.82
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,N,3,3,88.65
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,N,5,3,80.65
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,N,7,3,70.64
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,N,10,3,54.7
