Model,Attack_Type,Parameter,N,R,Accuracy
Standard,Adaptive-Saliency,R,5,2,49.15
Standard,Adaptive-Saliency,R,5,3,34.33
Standard,Adaptive-Saliency,R,5,4,23.91
PGD-AT,Adaptive-Saliency,R,5,2,44.08
PGD-AT,Adaptive-Saliency,R,5,3,30.12
PGD-AT,Adaptive-Saliency,R,5,4,20.3
FGSM-AT,Adaptive-Saliency,R,5,2,49.95
FGSM-AT,Adaptive-Saliency,R,5,3,33.9
FGSM-AT,Adaptive-Saliency,R,5,4,23.35
Occlusion-AT,Adaptive-Saliency,R,5,2,87.09
Occlusion-AT,Adaptive-Saliency,R,5,3,78.91
Occlusion-AT,Adaptive-Saliency,R,5,4,70.13
Adaptive-Occlusion-AT,Adaptive-Saliency,R,5,2,95.84
Adaptive-Occlusion-AT,Adaptive-Saliency,R,5,3,92.02
Adaptive-Occlusion-AT,Adaptive-Saliency,R,5,4,84.27
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,R,5,2,91.02
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,R,5,3,72.59
Adaptive-Saliency-AT(N5R1),Adaptive-Saliency,R,5,4,51.03
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,R,5,2,96.41
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,R,5,3,94.3
Adaptive-Saliency-AT(N5R3),Adaptive-Saliency,R,5,4,88.11
Adaptive-Mixed-AT,Adaptive-Saliency,R,5,2,85.89
Adaptive-Mixed-AT,Adaptive-Saliency,R,5,3,76.06
Adaptive-Mixed-AT,Adaptive-Saliency,R,5,4,63.13
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,R,5,2,83.32
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,R,5,3,67.86
Mixed-Occlusion-PGD-AT(10e),Adaptive-Saliency,R,5,4,52.73
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,R,5,2,87.66
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,R,5,3,80.65
Adaptive-Saliency-PGD-MixAT,Adaptive-Saliency,R,5,4,69.41
