Model,Attack_Type,Parameter,k,radius,kernel_size,Accuracy
Standard,Fixed-Saliency,k,3,1,3,86.82
Standard,Fixed-Saliency,k,5,1,3,80.99
Standard,Fixed-Saliency,k,7,1,3,75.92
Standard,Fixed-Saliency,k,9,1,3,71.19
Standard,Fixed-Saliency,k,12,1,3,65.01
Standard,Fixed-Saliency,k,15,1,3,59.78
PGD-AT,Fixed-Saliency,k,3,1,3,87.99
PGD-AT,Fixed-Saliency,k,5,1,3,81.39
PGD-AT,Fixed-Saliency,k,7,1,3,75.78
PGD-AT,Fixed-Saliency,k,9,1,3,70.11
PGD-AT,Fixed-Saliency,k,12,1,3,61.76
PGD-AT,Fixed-Saliency,k,15,1,3,54.23
FGSM-AT,Fixed-Saliency,k,3,1,3,91.11
FGSM-AT,Fixed-Saliency,k,5,1,3,84.99
FGSM-AT,Fixed-Saliency,k,7,1,3,79.19
FGSM-AT,Fixed-Saliency,k,9,1,3,73.73
FGSM-AT,Fixed-Saliency,k,12,1,3,66.45
FGSM-AT,Fixed-Saliency,k,15,1,3,60.41
Occlusion-AT,Fixed-Saliency,k,3,1,3,95.11
Occlusion-AT,Fixed-Saliency,k,5,1,3,94.69
Occlusion-AT,Fixed-Saliency,k,7,1,3,94.22
Occlusion-AT,Fixed-Saliency,k,9,1,3,93.78
Occlusion-AT,Fixed-Saliency,k,12,1,3,93.26
Occlusion-AT,Fixed-Saliency,k,15,1,3,92.6
Adaptive-Occlusion-AT,Fixed-Saliency,k,3,1,3,98.36
Adaptive-Occlusion-AT,Fixed-Saliency,k,5,1,3,98.32
Adaptive-Occlusion-AT,Fixed-Saliency,k,7,1,3,98.22
Adaptive-Occlusion-AT,Fixed-Saliency,k,9,1,3,98.14
Adaptive-Occlusion-AT,Fixed-Saliency,k,12,1,3,98.0
Adaptive-Occlusion-AT,Fixed-Saliency,k,15,1,3,97.86
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k,3,1,3,98.71
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k,5,1,3,98.41
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k,7,1,3,98.35
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k,9,1,3,97.95
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k,12,1,3,97.48
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,k,15,1,3,96.75
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k,3,1,3,98.62
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k,5,1,3,98.61
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k,7,1,3,98.49
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k,9,1,3,98.43
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k,12,1,3,98.31
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,k,15,1,3,98.2
Adaptive-Mixed-AT,Fixed-Saliency,k,3,1,3,97.3
Adaptive-Mixed-AT,Fixed-Saliency,k,5,1,3,96.14
Adaptive-Mixed-AT,Fixed-Saliency,k,7,1,3,95.2
Adaptive-Mixed-AT,Fixed-Saliency,k,9,1,3,94.03
Adaptive-Mixed-AT,Fixed-Saliency,k,12,1,3,92.68
Adaptive-Mixed-AT,Fixed-Saliency,k,15,1,3,91.24
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k,3,1,3,97.34
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k,5,1,3,96.76
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k,7,1,3,95.92
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k,9,1,3,94.96
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k,12,1,3,93.2
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,k,15,1,3,91.04
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k,3,1,3,97.79
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k,5,1,3,96.97
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k,7,1,3,96.34
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k,9,1,3,95.48
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k,12,1,3,94.24
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,k,15,1,3,92.56
